GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
location-master-service,com.paklog.wms.location.application.service,SlottingService.SlottingBalanceReport,0,12,0,0,0,1,0,1,0,1
location-master-service,com.paklog.wms.location.application.service,SlottingService,67,471,25,29,9,106,24,27,5,19
location-master-service,com.paklog.wms.location.application.service,LocationConfigurationService,155,408,3,9,38,99,10,22,7,19
location-master-service,com.paklog.wms.location.application.service,SlottingService.SlottingRecommendation,0,18,0,0,0,1,0,1,0,1
location-master-service,com.paklog.wms.location.application.service,SlottingService.SlottingDistribution,0,12,0,0,0,1,0,1,0,1
location-master-service,com.paklog.wms.location.domain.valueobject,LocationStatus,3,93,3,13,1,16,4,11,1,6
location-master-service,com.paklog.wms.location.domain.valueobject,SlottingClass,17,106,9,10,9,23,10,11,1,5
location-master-service,com.paklog.wms.location.domain.valueobject,LocationType,22,105,10,9,11,26,11,11,1,6
location-master-service,com.paklog.wms.location.infrastructure.events,LocationEventPublisher,21,234,1,1,3,71,1,9,0,9
location-master-service,com.paklog.wms.location.domain.event,LocationCapacityChangedEvent,0,56,0,0,0,4,0,2,0,2
location-master-service,com.paklog.wms.location.domain.event,LocationStatusChangedEvent,0,40,0,0,0,4,0,2,0,2
location-master-service,com.paklog.wms.location.domain.event,LocationCreatedEvent,0,48,0,0,0,4,0,2,0,2
location-master-service,com.paklog.wms.location.domain.event,LocationSlottingChangedEvent,0,48,0,0,0,4,0,2,0,2
location-master-service,com.paklog.wms.location.domain.entity,Dimensions,3,146,6,18,1,28,7,16,1,10
location-master-service,com.paklog.wms.location.domain.entity,Restrictions,87,220,20,26,19,62,27,23,8,19
location-master-service,com.paklog.wms.location.domain.entity,Capacity,65,295,11,25,7,61,12,26,1,19
location-master-service,com.paklog.wms.location,LocationMasterServiceApplication,5,3,0,0,2,1,1,1,1,1
location-master-service,com.paklog.wms.location.domain.aggregate,LocationMaster,63,517,14,38,9,149,19,63,7,49
location-master-service,com.paklog.wms.location.adapter.rest,LocationController,27,309,5,9,3,89,4,25,1,21
location-master-service,com.paklog.wms.location.adapter.rest.dto,DimensionsDto,0,27,0,0,0,6,0,2,0,2
location-master-service,com.paklog.wms.location.adapter.rest.dto,SlottingRecommendationResponse,0,18,0,0,0,1,0,1,0,1
location-master-service,com.paklog.wms.location.adapter.rest.dto,CreateLocationRequest,0,24,0,0,0,1,0,1,0,1
location-master-service,com.paklog.wms.location.adapter.rest.dto,ConfigureCapacityRequest,2,43,2,2,0,4,2,2,0,2
location-master-service,com.paklog.wms.location.adapter.rest.dto,SlottingOptimizationResponse,0,15,0,0,0,1,0,1,0,1
location-master-service,com.paklog.wms.location.adapter.rest.dto,ReserveLocationRequest,0,6,0,0,0,1,0,1,0,1
location-master-service,com.paklog.wms.location.adapter.rest.dto,UpdateSlottingRequest,0,9,0,0,0,1,0,1,0,1
location-master-service,com.paklog.wms.location.adapter.rest.dto,LocationResponse,2,117,2,2,0,24,2,2,0,2
location-master-service,com.paklog.wms.location.adapter.rest.dto,CapacityDto,0,52,0,0,0,11,0,2,0,2
location-master-service,com.paklog.wms.location.adapter.rest.dto,BlockLocationRequest,0,6,0,0,0,1,0,1,0,1
